time, interval
0:3:43.27500152587890625000 ,45
0:3:44.02500152587890625000 ,45
0:3:44.77000045776367187500 ,44
0:3:45.54499816894531250000 ,44
0:3:46.30500030517578125000 ,44
0:3:47.06499862670898437500 ,43
0:3:47.80500030517578125000 ,42
0:3:48.54000091552734375000 ,42
0:3:49.27500152587890625000 ,41
0:3:50.00000000000000000000 ,40
0:3:50.70000076293945312500 ,40
0:3:51.40000152587890625000 ,40
0:3:52.08499908447265625000 ,40
0:3:52.76499938964843750000 ,40
0:3:53.43500137329101562500 ,40
0:3:54.09999847412109375000 ,41
0:3:54.78499984741210937500 ,41
0:3:55.47000122070312500000 ,41
0:3:56.14500045776367187500 ,40
0:3:56.86000061035156250000 ,39
0:3:57.54000091552734375000 ,38
0:3:58.22499847412109375000 ,38
0:3:58.90999984741210937500 ,37
0:3:59.56999969482421875000 ,36
0:4:0.21999999880790710449 ,36
0:4:0.86000001430511474609 ,36
0:4:1.48500001430511474609 ,36
0:4:2.09999990463256835938 ,35
0:4:2.71499991416931152344 ,34
0:4:3.31500005722045898438 ,34
0:4:3.91499996185302734375 ,33
0:4:4.50000000000000000000 ,33
0:4:5.07999992370605468750 ,33
0:4:5.65000009536743164062 ,33
0:4:6.21500015258789062500 ,33
0:4:6.77500009536743164062 ,33
0:4:7.33500003814697265625 ,33
0:4:7.88999986648559570312 ,33
0:4:8.43999958038330078125 ,33
0:4:8.99499988555908203125 ,33
0:4:9.55500030517578125000 ,48
0:4:10.14000034332275390625 ,49
0:4:10.75500011444091796875 ,53
0:4:11.42500019073486328125 ,53
0:4:12.14999961853027343750 ,53
0:4:12.96500015258789062500 ,53
0:4:13.78499984741210937500 ,53
0:4:14.68000030517578125000 ,53
0:4:15.59500026702880859375 ,46
0:4:16.48500061035156250000 ,45
0:4:17.31999969482421875000 ,43
0:4:18.12000083923339843750 ,43
0:4:18.90999984741210937500 ,43
0:4:19.69000053405761718750 ,43
0:4:20.45499992370605468750 ,43
0:4:21.17000007629394531250 ,43
0:4:21.89999008178710937500 ,43
0:4:22.63999938964843750000 ,40
0:4:23.37000083923339843750 ,40
0:4:24.08498954772949218750 ,40
0:4:24.76000022888183593750 ,40
0:4:25.42000007629394531250 ,40
0:4:26.09000015258789062500 ,40
0:4:26.77000045776367187500 ,40
0:4:27.45000076293945312500 ,44
0:4:28.13500022888183593750 ,41
0:4:28.82500076293945312500 ,44
0:4:29.53499984741210937500 ,44
0:4:30.28499984741210937500 ,44
0:4:31.04000091552734375000 ,43
0:4:31.79500007629394531250 ,44
0:4:32.53499984741210937500 ,47
0:4:33.27000045776367187500 ,47
0:4:33.97999954223632812500 ,47
0:4:34.70500183105468750000 ,47
0:4:35.44499969482421875000 ,44
0:4:36.18999862670898437500 ,48
0:4:36.99499893188476562500 ,48
0:4:37.77999877929687500000 ,46
0:4:38.54999923706054687500 ,46
0:4:39.33499145507812500000 ,44
0:4:40.13499832153320312500 ,44
0:4:40.94499969482421875000 ,44
0:4:41.72000122070312500000 ,43
0:4:42.46500015258789062500 ,42
0:4:43.20000076293945312500 ,42
0:4:43.92499923706054687500 ,42
0:4:44.63499832153320312500 ,42
0:4:45.33499145507812500000 ,42
0:4:46.04499816894531250000 ,42
0:4:46.75000000000000000000 ,42
0:4:47.45999145507812500000 ,46
0:4:48.18500137329101562500 ,43
0:4:48.91500091552734375000 ,47
0:4:49.66500091552734375000 ,47
0:4:50.43500137329101562500 ,45
0:4:51.22499847412109375000 ,45
0:4:52.01499938964843750000 ,44
0:4:52.79999923706054687500 ,48
0:4:53.54999923706054687500 ,50
0:4:54.27000045776367187500 ,50
0:4:55.00500106811523437500 ,50
0:4:55.81000137329101562500 ,50
0:4:56.66500091552734375000 ,48
0:4:57.50500106811523437500 ,50
0:4:58.35499954223632812500 ,42
0:4:59.16500091552734375000 ,39
0:4:59.90999984741210937500 ,38
0:5:0.61000001430511474609 ,38
0:5:1.27499997615814208984 ,38
0:5:1.91999995708465576172 ,38
0:5:2.55999994277954101562 ,56
0:5:3.22000002861022949219 ,56
0:5:4.03499984741210937500 ,56
0:5:4.98999977111816406250 ,52
0:5:5.92999982833862304688 ,56
0:5:6.88000011444091796875 ,48
0:5:7.78999996185302734375 ,46
0:5:8.65999984741210937500 ,44
0:5:9.47500038146972656250 ,42
0:5:10.24499988555908203125 ,41
0:5:10.97999954223632812500 ,41
0:5:11.68000030517578125000 ,41
0:5:12.36499977111816406250 ,41
0:5:13.05000019073486328125 ,41
0:5:13.72999954223632812500 ,44
0:5:14.42000007629394531250 ,41
0:5:15.11499977111816406250 ,45
0:5:15.84500026702880859375 ,45
0:5:16.58498954772949218750 ,45
0:5:17.34499931335449218750 ,45
0:5:18.11499977111816406250 ,44
0:5:18.87999916076660156250 ,43
0:5:19.63999938964843750000 ,42
0:5:20.37500000000000000000 ,42
0:5:21.09499931335449218750 ,41
0:5:21.79999923706054687500 ,41
0:5:22.50000000000000000000 ,41
0:5:23.19000053405761718750 ,41
0:5:23.88999938964843750000 ,41
0:5:24.58498954772949218750 ,41
0:5:25.27499961853027343750 ,41
0:5:25.97500038146972656250 ,45
0:5:26.67000007629394531250 ,45
